id,date,store_nbr,family,onpromotion,comb,default_rank,_merge,city,state,store_type,cluster,local_holiday,regional_holiday,index,type,locale,locale_name,description,transferred,category,category_reg,national_holiday,holiday_true,sales_forecast
3000893,2017-08-16,1,BREAD/BAKERY,12,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3002675,2017-08-17,1,BREAD/BAKERY,7,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3004457,2017-08-18,1,BREAD/BAKERY,10,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3006239,2017-08-19,1,BREAD/BAKERY,9,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3008021,2017-08-20,1,BREAD/BAKERY,5,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3009803,2017-08-21,1,BREAD/BAKERY,10,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3011585,2017-08-22,1,BREAD/BAKERY,6,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3013367,2017-08-23,1,BREAD/BAKERY,14,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3015149,2017-08-24,1,BREAD/BAKERY,1,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3016931,2017-08-25,1,BREAD/BAKERY,2,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3018713,2017-08-26,1,BREAD/BAKERY,3,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3020495,2017-08-27,1,BREAD/BAKERY,5,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3022277,2017-08-28,1,BREAD/BAKERY,1,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3024059,2017-08-29,1,BREAD/BAKERY,5,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3025841,2017-08-30,1,BREAD/BAKERY,7,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3027623,2017-08-31,1,BREAD/BAKERY,4,1_BREAD/BAKERY,6,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3000895,2017-08-16,1,CLEANING,25,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3002677,2017-08-17,1,CLEANING,7,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3004459,2017-08-18,1,CLEANING,6,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3006241,2017-08-19,1,CLEANING,11,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3008023,2017-08-20,1,CLEANING,4,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3009805,2017-08-21,1,CLEANING,9,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3011587,2017-08-22,1,CLEANING,10,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3013369,2017-08-23,1,CLEANING,11,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3015151,2017-08-24,1,CLEANING,12,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3016933,2017-08-25,1,CLEANING,8,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3018715,2017-08-26,1,CLEANING,10,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3020497,2017-08-27,1,CLEANING,7,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3022279,2017-08-28,1,CLEANING,11,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3024061,2017-08-29,1,CLEANING,13,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3025843,2017-08-30,1,CLEANING,11,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
3027625,2017-08-31,1,CLEANING,12,1_CLEANING,8,both,Quito,Pichincha,D,13,False,False,,,,,,,,,False,False,489.2968370447275
